C2H_ccsd, -76.1783808728, -76.1793453650, -76.1774171833, -76.1793453650, -76.1774171833, -76.1790490981, -76.1777151702
C2H_pbe0, -76.5359556551, -76.5369141951, -76.5349979564, -76.5369141951, -76.5349979564, -76.5366200368, -76.5352939791
C2H_pbe, -76.5336949873, -76.5346545946, -76.5327362822, -76.5346545946, -76.5327362822, -76.5343773077, -76.5330155164
C2H_scan0, -76.5858977807, -76.5868547744, -76.5849415981, -76.5868547744, -76.5849415981, -76.5865523274, -76.5852458559
C2H_scan, -76.5997819821, -76.6007362799, -76.5988285167, -76.6007362799, -76.5988285167, -76.6004437006, -76.5991229546
C2H_spw92, -76.5336949873, -76.5346545946, -76.5327362822, -76.5346545946, -76.5327362822, -76.5343773077, -76.5330155164
CH4_ccsd, -40.2137943656, -40.2144200831, -40.2131694167, -40.2144200831, -40.2131694167, -40.2144200831, -40.2131694167
CH4_pbe0, -40.4754204024, -40.4760449168, -40.4747967336, -40.4760449168, -40.4747967336, -40.4760449168, -40.4747967336
CH4_pbe, -40.4647192485, -40.4653512020, -40.4640882044, -40.4653512020, -40.4640882044, -40.4653512020, -40.4640882044
CH4_scan0, -40.5024948792, -40.5031158646, -40.5018747095, -40.5031158646, -40.5018747095, -40.5031158646, -40.5018747095
CH4_scan, -40.5067610813, -40.5073844132, -40.5061385950, -40.5073844132, -40.5061385950, -40.5073844132, -40.5061385950
CH4_spw92, -40.4647192485, -40.4653512020, -40.4640882044, -40.4653512020, -40.4640882044, -40.4653512020, -40.4640882044
CN_ccsd, -92.2363640369, -92.2371853040, -92.2355432442, -92.2371853040, -92.2355432442, -92.2369633657, -92.2357666026
CN_pbe0, -92.6329860653, -92.6338065418, -92.6321660877, -92.6338065418, -92.6321660877, -92.6336386313, -92.6323359490
CN_pbe, -92.6432301890, -92.6440523236, -92.6424085873, -92.6440523236, -92.6424085873, -92.6439246644, -92.6425383307
CN_scan0, -92.6840655034, -92.6848833970, -92.6832480899, -92.6848833970, -92.6832480899, -92.6846908497, -92.6834424208
CN_scan, -92.7083638160, -92.7091796643, -92.7075484581, -92.7091796643, -92.7075484581, -92.7090187325, -92.7077113317
CN_spw92, -92.6432301890, -92.6440523236, -92.6424085873, -92.6440523236, -92.6424085873, -92.6439246644, -92.6425383307
CO_ccsd, -112.7820950226, -112.7828550438, -112.7813353805, -112.7828550438, -112.7813353805, -112.7830351620, -112.7811562065
CO_pbe0, -113.2379777509
CO_pbe, -113.2425724419
CO_scan0, -113.2969368372
CO_scan, -113.3202595598
CO_spw92, -112.4740553512
CO2_ccsd, -187.7100083887, -187.7111100284, -187.7089071099, -187.7111100284, -187.7089071099, -187.7114925643, -187.7085263111
CO2_pbe0, -188.4627684687, -188.4638697668, -188.4616675683, -188.4638697668, -188.4616675683, -188.4641946049, -188.4613445945
CO2_pbe, -188.4770481018, -188.4781558869, -188.4759407468, -188.4781558869, -188.4759407468, -188.4784660543, -188.4756325272
CO2_scan0, -188.5573281331, -188.5584242586, -188.5562323884, -188.5584242586, -188.5562323884, -188.5587570526, -188.5559014134
CO2_scan, -188.6012686190, -188.6023657065, -188.6001719282, -188.6023657065, -188.6001719282, -188.6026879713, -188.5998515257
CO2_spw92, -188.4770481018, -188.4781558869, -188.4759407468, -188.4781558869, -188.4759407468, -188.4784660543, -188.4756325272
H2O_ccsd, -76.0607979567, -76.0613600862, -76.0602361067, -76.0611136791, -76.0604825110, -76.0612622121, -76.0603339655
H2O_pbe0, -76.3810478229, -76.3816224177, -76.3804735953, -76.3813769438, -76.3807190172, -76.3815245985, -76.3805713691
H2O_pbe, -76.3816917440, -76.3822768724, -76.3811070511, -76.3820314014, -76.3813524301, -76.3821788251, -76.3812050271
H2O_scan0, -76.4187127032, -76.4192816009, -76.4181441429, -76.4190354093, -76.4183902996, -76.4191840719, -76.4182416379
H2O_scan, -76.4336222475, -76.4341960201, -76.4330488493, -76.4339500956, -76.4332947173, -76.4340987168, -76.4331461049
H2O_spw92, -76.3816917440, -76.3822768724, -76.3811070511, -76.3820314014, -76.3813524301, -76.3821788251, -76.3812050271
HCO_ccsd, -113.2907164960, -113.2915562375, -113.2898778329, -113.2917398269, -113.2896945380, -113.2915330876, -113.2899003103
HCO_pbe0, -113.7675954655, -113.7684291273, -113.7667630828, -113.7685935395, -113.7665989042, -113.7684136404, -113.7667777447
