method,,hf,hf,hf,MP2,MP2,MP2,CCSD,CCSD,CCSD,CCSD\(T\),CCSD\(T\),CCSD\(T\)
component,,XX,YY,ZZ,XX,YY,ZZ,XX,YY,ZZ,XX,YY,ZZ
molecule,basis,,,,,,,,,,,,
AlF,5Z,0.728543059250322,0.728543059250322,1.7621938046684607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlF,QZ,0.7286195926077051,0.7286195926077051,1.76222971970599,0.7314701510087812,0.7314701510087812,1.7523136746754397,0.7283517706521532,0.7283517706521532,1.7524498841911726,0.72993208653539,0.72993208653539,1.7510654172559652
AlF,TZ,0.7291782744918482,0.7291782744918482,1.7623955789783385,0.7334373896848867,0.7334373896848867,1.753415885716737,0.730297845206577,0.730297845206577,1.753317304912044,0.7319283007387601,0.7319283007387601,1.7520994210903864
AlF,CBS,0.728543059250322,0.728543059250322,1.7621938046684607,0.7303657518842904,0.7303657518842904,1.7515944759146236,0.7272628156164571,0.7272628156164571,1.751902018907424,0.7288065431072196,0.7288065431072196,1.7503959913217884
Ar,5Z,0.6943992145772888,0.6943992145772888,0.6943992145772888,0.6938645337196355,0.6938645337196355,0.6938645337196355,0.6929291211032922,0.6929291211032922,0.6929291211032922,0.693341899779145,0.693341899779145,0.693341899779145
Ar,QZ,0.694476536916675,0.694476536916675,0.694476536916675,0.694382773943698,0.694382773943698,0.694382773943698,0.6934440546059526,0.6934440546059526,0.6934440546059526,0.6938845501713995,0.6938845501713995,0.6938845501713995
Ar,TZ,0.6947976299094419,0.6947976299094419,0.6947976299094419,0.6956277704724935,0.6956277704724935,0.6956277704724935,0.695000555015371,0.695000555015371,0.695000555015371,0.6954660269949697,0.6954660269949697,0.6954660269949697
Ar,CBS,0.6943992145772888,0.6943992145772888,0.6943992145772888,0.6934019313488277,0.6934019313488277,0.6934019313488277,0.6924699880795291,0.6924699880795291,0.6924699880795291,0.69285368674007,0.69285368674007,0.69285368674007
BeH,5Z,0.9891489938325773,0.9891489938325773,1.6465446962486627,0.9901421947332357,0.9901421947332357,1.6340304031497523,0.9930617176379146,0.9930617176379146,1.6273621612907232,0.9939525028217744,0.9939525028217744,1.6261185256165351
BeH,QZ,0.9891264445863329,0.9891264445863329,1.646741656796379,0.9903946519394309,0.9903946519394309,1.6346673285258884,0.9933033654463264,0.9933033654463264,1.6278296711211742,0.9941889048949034,0.9941889048949034,1.6265945789454386
BeH,TZ,0.989517225448855,0.989517225448855,1.6473932870890393,0.9919332494989669,0.9919332494989669,1.639043844879562,0.9949932568468435,0.9949932568468435,1.6299185786328636,0.9958722729178535,0.9958722729178535,1.628873315669377
